ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
AAC3,gene:plasmid:14303,0,0,1,2
AAC3,gene:plasmid:14303,1,0,1,1
AAC3,gene:plasmid:14304,0,0,1,2
AAC3,gene:plasmid:14304,1,0,1,1
AAC3,gene:plasmid:148233,0,0,1,2
AAC3,gene:plasmid:148233,0,1,1,2
AAC3,gene:plasmid:158830,0,0,1,2
AAC3,gene:plasmid:158830,1,0,1,1
AAC6-PRIME,gene:plasmid:13101,0,1,0,1
AAC6-PRIME,gene:plasmid:136912,1,0,0,1
AAC6-PRIME,gene:plasmid:15542,1,0,0,2
AAC6-PRIME,gene:plasmid:28968,0,0,1,1
AAC6-PRIME,gene:plasmid:28968,1,0,0,2
AAC6-PRIME,gene:plasmid:97769,0,1,1,1
ACN,gene:plasmid:118383,0,0,1,1
ACN,gene:plasmid:28516,0,0,1,1
ACN,gene:plasmid:28516,1,0,0,1
ACRD,gene:plasmid:142099,0,1,0,1
ACRS,gene:plasmid:123257,0,0,1,2
ACRS,gene:plasmid:123257,0,1,0,2
ACRS,gene:plasmid:123257,1,0,0,1
ACRS,gene:plasmid:93474,0,0,1,1
ACRS,gene:plasmid:93482,0,0,1,1
AMPH,gene:plasmid:123173,0,0,1,1
AMPH,gene:plasmid:123175,0,0,1,2
AMPH,gene:plasmid:148055,0,0,1,1
AMPH,gene:plasmid:21909,0,1,0,1
AMPH,gene:plasmid:87452,0,1,0,1
AMPH,gene:plasmid:88435,0,0,1,2
AMPH,gene:plasmid:88435,0,1,0,1
AMPH,gene:plasmid:88436,0,0,1,2
AMPH,gene:plasmid:88436,0,1,0,2
AMPH,gene:plasmid:88436,0,1,1,1
AMPH,gene:plasmid:88436,1,0,0,1
AMPH,gene:plasmid:88437,0,0,1,3
AMPH,gene:plasmid:88437,0,1,0,3
AMPH,gene:plasmid:88437,0,1,1,1
ANT3-DPRIME,gene:plasmid:117709,0,0,1,1
ANT3-DPRIME,gene:plasmid:117709,0,1,0,1
ANT3-DPRIME,gene:plasmid:117711,0,0,1,1
ANT3-DPRIME,gene:plasmid:117712,0,0,1,1
ANT3-DPRIME,gene:plasmid:117713,0,0,1,1
ANT3-DPRIME,gene:plasmid:117713,0,1,0,1
ANT3-DPRIME,gene:plasmid:117714,0,0,1,1
ANT3-DPRIME,gene:plasmid:117715,0,0,1,1
ANT3-DPRIME,gene:plasmid:117716,0,0,1,1
ANT3-DPRIME,gene:plasmid:117717,0,0,1,1
ANT3-DPRIME,gene:plasmid:117736,0,1,0,1
ANT3-DPRIME,gene:plasmid:117738,0,0,1,1
ANT3-DPRIME,gene:plasmid:117738,0,1,0,1
ANT3-DPRIME,gene:plasmid:117740,0,0,1,1
ANT3-DPRIME,gene:plasmid:117742,0,0,1,1
ANT3-DPRIME,gene:plasmid:117742,0,1,0,1
ANT3-DPRIME,gene:plasmid:117819,0,1,0,1
ANT3-DPRIME,gene:plasmid:117821,0,0,1,1
ANT3-DPRIME,gene:plasmid:117821,0,1,0,1
ANT3-DPRIME,gene:plasmid:117823,0,0,1,1
ANT3-DPRIME,gene:plasmid:117823,0,1,0,1
ANT3-DPRIME,gene:plasmid:119667,0,0,1,1
ANT3-DPRIME,gene:plasmid:121415,0,0,1,1
ANT3-DPRIME,gene:plasmid:121415,0,1,0,1
ANT3-DPRIME,gene:plasmid:121416,0,0,1,1
ANT3-DPRIME,gene:plasmid:121416,0,1,0,1
ANT3-DPRIME,gene:plasmid:121434,0,0,1,1
ANT3-DPRIME,gene:plasmid:121436,0,0,1,1
ANT3-DPRIME,gene:plasmid:121436,0,1,0,1
ANT3-DPRIME,gene:plasmid:121505,0,0,1,1
ANT3-DPRIME,gene:plasmid:121510,0,0,1,1
ANT3-DPRIME,gene:plasmid:121510,0,1,0,1
ANT3-DPRIME,gene:plasmid:121584,0,0,1,1
