ARG_Name,MGE_Name,PatientCount,Label
AAC3,gene:plasmid:118521,2,PostFMT Only
AAC3,gene:plasmid:118522,2,PostFMT Only
AAC3,gene:plasmid:14302,1,PostFMT Only
AAC3,gene:plasmid:14303,2,PostFMT Only
AAC3,gene:plasmid:14304,2,PostFMT Only
AAC3,gene:plasmid:148233,2,PostFMT Only
AAC3,gene:plasmid:148234,1,PostFMT Only
AAC3,gene:plasmid:158830,2,PostFMT Only
AAC3,gene:plasmid:84283,1,PostFMT Only
AAC6-PRIME,gene:plasmid:15547,1,PostFMT Only
AAC6-PRIME,gene:plasmid:15632,1,PostFMT Only
AAC6-PRIME,gene:plasmid:17458,1,PostFMT Only
AAC6-PRIME,gene:plasmid:28968,1,PostFMT Only
AAC6-PRIME,gene:proph:167231,1,PostFMT Only
ACN,gene:plasmid:118383,1,PostFMT Only
ACN,gene:plasmid:28516,1,PostFMT Only
ACRA,gene:vir:1321,1,PostFMT Only
ACRD,gene:proph:163981,1,PostFMT Only
ACRD,gene:proph:182641,1,PostFMT Only
ACRD,gene:proph:183583,1,PostFMT Only
ACRD,gene:proph:184644,1,PostFMT Only
ACRD,gene:vir:6834,1,PostFMT Only
ACRD,gene:vir:7156,1,PostFMT Only
ACRS,gene:plasmid:123257,2,PostFMT Only
ACRS,gene:plasmid:93474,1,PostFMT Only
ACRS,gene:plasmid:93482,1,PostFMT Only
ACRS,gene:proph:163818,7,PostFMT Only
AMPH,gene:plasmid:123173,1,PostFMT Only
AMPH,gene:plasmid:123175,2,PostFMT Only
AMPH,gene:plasmid:148055,1,PostFMT Only
AMPH,gene:plasmid:88435,2,PostFMT Only
AMPH,gene:plasmid:88436,2,PostFMT Only
AMPH,gene:plasmid:88437,3,PostFMT Only
AMPH,gene:proph:170892,1,PostFMT Only
ANT3-DPRIME,IncI1_1_Alpha_AP005147,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117709,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117711,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117712,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117713,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117714,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117715,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117716,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117717,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117738,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117740,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117742,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117821,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:117823,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:119667,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121415,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121416,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121434,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121436,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121505,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121507,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121510,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:121584,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:123182,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:123367,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151239,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151243,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151254,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151273,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151274,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151275,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151286,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151291,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:151429,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:152440,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:15989,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:19399,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:19401,1,PostFMT Only
ANT3-DPRIME,gene:plasmid:19402,1,PostFMT Only
