ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
ANT6,ICEberg|3|CTnDOT|GenBank|AJ...,0,0,1,1
CEPA,ICEberg|65|CTnGERM1|GenBank...,0,0,1,1
LSA,ICEberg|101|Tn5385|GenBank|...,0,0,1,2
LSA,ICEberg|101|Tn5385|GenBank|...,0,1,0,1
LSA,ICEberg|101|Tn5385|GenBank|...,0,1,1,2
MARR,ICEberg|74|ICEEcIHE3034-1|G...,0,1,1,1
MEFA,ICEberg|65|CTnGERM1|GenBank...,0,0,1,4
MEFA,ICEberg|65|CTnGERM1|GenBank...,1,0,0,1
MSRD,ICEberg|65|CTnGERM1|GenBank...,1,0,0,2
SODB,ICEberg|74|ICEEcIHE3034-1|G...,0,0,1,2
TETA46,ICEberg|362|Tn1311|GenBank|...,0,1,0,1
TETM,ICEberg|327|ICEFal35896-1|G...,0,0,1,1
TETM,ICEberg|399|CTn2|GenBank|AM...,0,1,0,1
TETM,ICEberg|47|Tn5251(partofTn5...,0,1,0,1
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,0,0,1,2
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,1,0,0,2
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,1,0,1,2
TETX,ICEberg|3|CTnDOT|GenBank|AJ...,0,1,0,1
TETX,ICEberg|3|CTnDOT|GenBank|AJ...,1,0,0,1
TETX,ICEberg|58|ICEBfrYCH46-1|Ge...,0,1,0,1
YBTP,ICEberg|129|ICEEcoED1a-1|Ge...,0,1,0,1
ZNUA,ICEberg|127|ICEKpn342-1|Gen...,0,1,0,1
