ARG_ID,MGE_ID,MGE_Group,Donor,Pre,Post,PatientCount
AAC3,gene:plasmid:118521,likely IS/TE,0,1,1,2
AAC3,gene:plasmid:14302,likely IS/TE,0,0,1,1
AAC3,gene:plasmid:14303,plasmid,0,0,1,1
AAC3,gene:plasmid:14304,plasmid,0,0,1,1
AAC3,gene:plasmid:148233,plasmid,0,1,1,2
AAC3,gene:plasmid:148234,likely IS/TE,0,0,1,1
AAC3,gene:plasmid:148234,likely IS/TE,0,1,0,1
AAC3,gene:plasmid:158830,plasmid,0,0,1,1
AAC3,gene:plasmid:84283,likely IS/TE,0,0,1,1
AAC3,gene:plasmid:84283,likely IS/TE,0,1,0,1
AAC6-PRIME,gene:plasmid:136912,plasmid,1,0,3,1
AAC6-PRIME,gene:plasmid:15542,plasmid,1,0,3,1
AAC6-PRIME,gene:plasmid:15547,likely IS/TE,1,0,3,1
AAC6-PRIME,gene:plasmid:17458,likely IS/TE,0,0,1,1
AAC6-PRIME,gene:plasmid:28968,plasmid,1,0,3,1
AAC6-PRIME,gene:plasmid:97769,plasmid,0,1,1,1
AAC6-PRIME,gene:proph:167228,likely IS/TE,0,1,0,1
AAC6-PRIME,gene:proph:167231,likely IS/TE,1,0,3,1
ACRA,gene:vir:1321,virus,0,0,1,1
ACRD,gene:proph:163981,prophage,0,0,1,1
ACRD,gene:proph:182641,prophage,0,0,1,1
ACRD,gene:proph:183583,prophage,0,0,1,1
ACRD,gene:proph:184644,prophage,0,0,1,1
ACRD,gene:vir:7156,virus,0,0,1,1
ACRS,gene:proph:163818,prophage,0,0,1,1
AMPH,gene:plasmid:123173,plasmid,0,0,1,1
AMPH,gene:plasmid:123175,plasmid,0,0,1,1
AMPH,gene:plasmid:88435,plasmid,0,0,1,1
AMPH,gene:plasmid:88436,plasmid,0,0,1,1
AMPH,gene:plasmid:88437,plasmid,0,0,1,1
ANT6,gene:plasmid:135617,plasmid,0,0,1,1
ANT6,gene:plasmid:136912,plasmid,1,0,3,1
ANT6,gene:plasmid:15542,plasmid,1,0,3,1
ANT6,gene:plasmid:15664,plasmid,0,0,1,1
ANT6,gene:plasmid:15665,likely IS/TE,0,0,1,1
ANT6,gene:plasmid:28968,plasmid,1,0,3,1
APH3-PRIME,gene:plasmid:109090,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:136190,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:83771,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:83787,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:83899,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:83934,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91552,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91555,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91581,plasmid,0,1,0,1
APH3-PRIME,gene:plasmid:91606,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91640,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91643,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91648,plasmid,0,0,2,1
APH3-PRIME,gene:plasmid:91662,plasmid,0,1,0,1
APH6,gene:plasmid:136289,plasmid,0,1,0,1
ARIR,gene:proph:169115,prophage,0,0,1,1
ARIR,gene:proph:172517,prophage,0,0,1,1
ARIR,gene:proph:172518,prophage,0,0,1,1
ARIR,gene:proph:172519,prophage,0,0,1,1
ARIR,gene:proph:172520,prophage,0,0,1,1
ARIR,gene:proph:172521,prophage,0,0,1,1
ARIR,gene:proph:172522,prophage,0,0,1,1
ARIR,gene:proph:172523,prophage,0,0,1,1
ARIR,gene:proph:172524,prophage,0,0,1,1
ARIR,gene:proph:172602,prophage,0,0,1,1
